,Address,Lat,Long,Area,Asking,Bathrooms,Bedrooms,Built Year,Developer,District,facilities,Floor,Furnish,HDB Town,Model,No. of Units,Property Name,Property Type,PSF,Tenure,X-Valuation,DistrictValue
23,5 Shenton Way (068808),1.277497393,103.8494262,1765,4521000,NA,3,NA,UIC Investments (Properties) Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Sun Deck|Cinnamon Scent|Epicurean Dining|Refreshment Bar|Junior Pool|Outback Grill|Day Bed Island|Surf Lounge|Spice Botanics|Indoor Gymnasium|Playscape|Garden Lounge|Outdoor Fitness|Club Lounge|Bubbly Bay|Spa Pool|Cloves Hedge|Splash Zone|Aqua Gym|Renovated|City View|Sea View|Park/greenery View|Corner Unit|Water Heater|Intercom|Air Conditioning|Cooker Hob/hood|Balcony,49,NA,NA,Apartment,510,V on Shenton,Apartment,2561,LEASEHOLD/99 years,NA,1
24,21 Marina Way (018978),1.276714985,103.8533269,1141,2520550,2,3,2017,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Corner Unit|City View|Renovated|Air Conditioning|Water Heater|Intercom|Hairdryer|Cooker Hob/hood|Jacuzzi|Balcony|Maidsroom|Walk-in-wardrobe,6,Fully Furnished,NA,Apartment,1042,Marina One Residences,Apartment,2209,LEASEHOLD/99 years,NA,1
25,23 Marina Way (018978),1.276714985,103.8533269,2250,5325800,4,4+1,2017,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Corner Unit|City View|Renovated|Park/greenery View|Air Conditioning|Hairdryer|Water Heater|Intercom|Cooker Hob/hood|Private Lift|Maidsroom|Balcony|Walk-in-wardrobe|Private Garden,30,Partially Furnished,NA,Apartment,1042,Marina One Residences,Apartment,2367,LEASEHOLD/99 years,NA,1
26,21 Marina Way (018978),1.276714985,103.8533269,1518,3642168,3,3,2017,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Corner Unit|City View|Renovated|Air Conditioning|Hairdryer|Intercom|Water Heater|Cooker Hob/hood|Jacuzzi|Balcony|Maidsroom|Walk-in-wardrobe,30,Fully Furnished,NA,Apartment,1042,Marina One Residences,Apartment,2399,LEASEHOLD/99 years,NA,1
27,1 Fraser Street (189350),1.30013,103.857268,1927,3510000,1,3+1,2017,Ophir-Rochor Residential Pte. Ltd.,D7 - Beach Road / Bugis / Rochor,Reflective Pool|Function Room|Kid's Play Area|Jacuzzi|Patio Gym|50M Lap Pool With Spa Seats|Outdoor Living Room|Sky Pool|Gymnasium|Sun Deck|Children's Pool|Aqua Gym Equipment|Teppanyaki Terraces|Corner Unit|City View|Renovated|Air Conditioning|Hairdryer|Intercom|Water Heater|Cooker Hob/hood|Balcony|Maidsroom|Walk-in-wardrobe,40,Fully Furnished,NA,Apartment,660,Duo Residences,Apartment,1821,LEASEHOLD/99 years,NA,7
28,78 Upper Serangoon View (533879),1.375416691,103.904113,1357,1879000,NA,5,NA,Kingsford Property Development Pte Ltd,D19 - Hougang / Punggol / Sengkang,Air Conditioning|Cooker Hob/hood,15,NA,NA,Apartment,1165,Kingsford Waterbay,Apartment,1385,LEASEHOLD/99 years,NA,19
29,21 Marina Way (018978),1.276714985,103.8533269,1130,2550000,2,2,NA,MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd,D1 - Boat Quay / Raffles Place / Marina,Original Condition|City View|Air Conditioning|Intercom|Water Heater|Private Lift|Cooker Hob/hood|Balcony|Walk-in-wardrobe,18,Partially Furnished,NA,Apartment,1042,Marina One Residences,Apartment,2257,LEASEHOLD/99 years,NA,1
30,3 Dundee Road (149457),1.294336001,103.8070198,2003,3123000,4,5,NA,HY Realty (Dundee) Pte Ltd,D3 - Alexandra / Commonwealth,Bathtub|Hairdryer|Water Heater|Intercom|Air Conditioning|Cooker Hob/hood|Balcony|Walk-in-wardrobe,29,Partially Furnished,NA,Condominium,736,Queens Peak,Condominium,1559,LEASEHOLD/99 years,NA,3
31,22 Leonie Hill Road (239195),1.298984791,103.8342663,6524,11888888,NA,5+1,2009,SB (Orchard) Development Pte Ltd,D9 - Orchard / River Valley,Park/greenery View|Renovated|City View|Air Conditioning|Cooker Hob/hood|Intercom|Private Pool|Bathtub|Hairdryer|Jacuzzi|Water Heater|Private Lift|Balcony|Bombshelter|Maidsroom|Terrace|Outdoor Patio|Roof Terrace|Walk-in-wardrobe|Garage,28,NA,NA,Apartment,44,Leonie Parc View,Apartment,1822,FREEHOLD,NA,9
32,1 Dundee Road (149456),1.294827941,103.8067413,1001,1696000,NA,3,2020,HY Realty (Dundee) Pte Ltd,D3 - Alexandra / Commonwealth,Park/greenery View|City View|Intercom|Cooker Hob/hood|Air Conditioning|Water Heater|Balcony,31,NA,NA,Condominium,736,Queens Peak,Condominium,1694,LEASEHOLD/99 years,NA,3
